Trait,Annot,Celltype,EnrichmentScore,Enrichment_se,Enrichment_p
NEU,ATAC,MG,0.04784067559,2.864165817,0.7356920164
NEU,ATAC,OC,11.55917173,3.30294596,0.002768481418
NEU,ATAC,oRG,8.397929911,3.132025713,0.02564239937
NEU,ATAC,vRG,7.2250123,4.284121234,0.1673970126
NEU,MRs,MG,-0.09862169203,3.090434311,0.7207361147
NEU,MRs,OC,9.154808159,3.081544814,0.01241944697
NEU,MRs,oRG,9.440972149,3.38375509,0.01937486699
NEU,MRs,vRG,8.140385265,3.047119531,0.0296992132
NEU,ATAC.MRs,MG,-0.3972314179,5.041004714,0.7784074722
NEU,ATAC.MRs,OC,11.7929551,5.070414393,0.04639056426
NEU,ATAC.MRs,oRG,12.70253103,5.295424373,0.03855814146
NEU,ATAC.MRs,vRG,7.650161031,4.764061146,0.1797576043
NEU,PLAC,MG,0.8408124068,0.45289117,0.7209262176
NEU,PLAC,OC,2.043341779,0.5207310813,0.04659143247
NEU,PLAC,oRG,1.03865766,0.4719046161,0.934525205
NEU,PLAC,vRG,2.003390522,0.7669111933,0.2073231355
DS,ATAC,MG,-10.19556758,4.726576296,0.01560467632
DS,ATAC,OC,19.75450001,6.23826903,0.004270798889
DS,ATAC,oRG,10.16030187,5.09561708,0.07303707129
DS,ATAC,vRG,9.163082726,6.192853296,0.1933878191
DS,MRs,MG,-9.137624169,5.483671988,0.06457733237
DS,MRs,OC,10.57025518,5.564303056,0.09423771904
DS,MRs,oRG,13.48974838,5.060466753,0.01320483975
DS,MRs,vRG,12.48421083,5.187282322,0.02729193076
DS,ATAC.MRs,MG,-14.3827705,8.328733187,0.06125826127
DS,ATAC.MRs,OC,26.15181394,8.764249943,0.00573190727
DS,ATAC.MRs,oRG,17.82877002,8.18793114,0.03789217939
DS,ATAC.MRs,vRG,16.71158691,9.316338569,0.09094625938
DS,PLAC,MG,-0.633291457,0.775547546,0.03145844556
DS,PLAC,OC,3.038026433,0.887724881,0.02705706312
DS,PLAC,oRG,0.7017139193,0.9415669781,0.7518270911
DS,PLAC,vRG,1.875075984,1.050404194,0.4069164991
MDD,ATAC,MG,-2.923395881,1.609457314,0.01466705791
MDD,ATAC,OC,7.349811698,2.362617157,0.007869160319
MDD,ATAC,oRG,4.944724772,1.882494822,0.03746344565
MDD,ATAC,vRG,4.471332598,2.154935122,0.1077434052
