output_prefix	name	motif_id	cluster	total_tfbs	MG_mean_score	MG_bound	OPC_mean_score	OPC_bound	MG_OPC_change	MG_OPC_pvalue	MG_OPC_highlighted
AHR_HUMAN.H11MO.0.B_AHR_HUMAN.H11MO.0.B	AHR_HUMAN.H11MO.0.B	AHR_HUMAN.H11MO.0.B	C_AHR_HUMAN.H11MO.0.B	9068	0.22065	1634	0.25552	1941	-0.09227	3.36199E-93	False
AIRE_HUMAN.H11MO.0.C_AIRE_HUMAN.H11MO.0.C	AIRE_HUMAN.H11MO.0.C	AIRE_HUMAN.H11MO.0.C	C_AIRE_HUMAN.H11MO.0.C	31391	0.07794	1460	0.08283	1457	0.044	1.54885E-93	False
ALX1_HUMAN.H11MO.0.B_ALX1_HUMAN.H11MO.0.B	ALX1_HUMAN.H11MO.0.B	ALX1_HUMAN.H11MO.0.B	C_ALX1_HUMAN.H11MO.0.B	31691	0.05247	726	0.0714	1013	-0.08029	2.22747E-113	False
ANDR_HUMAN.H11MO.0.A_ANDR_HUMAN.H11MO.0.A	ANDR_HUMAN.H11MO.0.A	ANDR_HUMAN.H11MO.0.A	C_ANDR_HUMAN.H11MO.0.A	107688	0.07105	4439	0.07267	4059	0.05746	4.62779E-134	False
AP2A_HUMAN.H11MO.0.A_AP2A_HUMAN.H11MO.0.A	AP2A_HUMAN.H11MO.0.A	AP2A_HUMAN.H11MO.0.A	C_AP2C_HUMAN.H11MO.0.A	91508	0.13936	10197	0.15441	11114	-0.00648	3.23984E-41	False
AP2B_HUMAN.H11MO.0.B_AP2B_HUMAN.H11MO.0.B	AP2B_HUMAN.H11MO.0.B	AP2B_HUMAN.H11MO.0.B	C_AP2B_HUMAN.H11MO.0.B	104151	0.21835	19717	0.27731	26504	-0.18056	7.66053E-182	False
AP2C_HUMAN.H11MO.0.A_AP2C_HUMAN.H11MO.0.A	AP2C_HUMAN.H11MO.0.A	AP2C_HUMAN.H11MO.0.A	C_AP2C_HUMAN.H11MO.0.A	106392	0.16185	14225	0.18772	16702	-0.04943	7.05409E-124	False
ARI5B_HUMAN.H11MO.0.C_ARI5B_HUMAN.H11MO.0.C	ARI5B_HUMAN.H11MO.0.C	ARI5B_HUMAN.H11MO.0.C	C_ARI5B_HUMAN.H11MO.0.C	26052	0.07671	1218	0.09151	1476	-0.01826	4.98653E-55	False
ARNT_HUMAN.H11MO.0.B_ARNT_HUMAN.H11MO.0.B	ARNT_HUMAN.H11MO.0.B	ARNT_HUMAN.H11MO.0.B	C_ARNT_HUMAN.H11MO.0.B	9484	0.19804	1462	0.21847	1651	-0.03851	1.26389E-63	False
ASCL1_HUMAN.H11MO.0.A_ASCL1_HUMAN.H11MO.0.A	ASCL1_HUMAN.H11MO.0.A	ASCL1_HUMAN.H11MO.0.A	C_ASCL1_HUMAN.H11MO.0.A	102482	0.11041	8942	0.15587	13098	-0.16951	1.38435E-173	False
