"output_prefix" "name" "motif_id" "cluster" "total_tfbs" "MG_mean_score" "MG_bound" "OPC_mean_score" "OPC_bound" "MG_OPC_change" "MG_OPC_pvalue" "MG_OPC_highlighted" "Transcription.factor" "oRG" "vRG" "MG" "Oligo" "cat" "label"
"8" "ARI5B_HUMAN.H11MO.0.C_ARI5B_HUMAN.H11MO.0.C" "ARI5B_HUMAN.H11MO.0.C" "ARI5B_HUMAN.H11MO.0.C" "C_ARI5B_HUMAN.H11MO.0.C" 26052 0.07671 1218 0.09151 1476 -0.01826 4.98653e-55 "False" "ARID5B" 6.91772687864038 6.61036339261122 13.0559334307589 11.8443937805501 "NOT_SIG" NA
"9" "ARNT_HUMAN.H11MO.0.B_ARNT_HUMAN.H11MO.0.B" "ARNT_HUMAN.H11MO.0.B" "ARNT_HUMAN.H11MO.0.B" "C_ARNT_HUMAN.H11MO.0.B" 9484 0.19804 1462 0.21847 1651 -0.03851 1.26389e-63 "False" "ARNT" 24.5356295297027 30.0596275667647 62.5493977391954 27.671843872423 "NOT_SIG" NA
"10" "ASCL1_HUMAN.H11MO.0.A_ASCL1_HUMAN.H11MO.0.A" "ASCL1_HUMAN.H11MO.0.A" "ASCL1_HUMAN.H11MO.0.A" "C_ASCL1_HUMAN.H11MO.0.A" 102482 0.11041 8942 0.15587 13098 -0.16951 1.38435e-173 "False" "ASCL1" 4.67431419458201 11.3683673610327 0.541094558130636 19.5795477573126 "NOT_SIG" NA
"12" "ATF2_HUMAN.H11MO.0.B_ATF2_HUMAN.H11MO.0.B" "ATF2_HUMAN.H11MO.0.B" "ATF2_HUMAN.H11MO.0.B" "C_ATF2_HUMAN.H11MO.0.B" 34767 0.15425 3947 0.1535 3588 0.08379 1.65552e-117 "False" "ATF2" 38.6022857279731 34.2972618672797 40.2598014796896 31.9908469689436 "NOT_SIG" NA
"13" "ATF3_HUMAN.H11MO.0.A_ATF3_HUMAN.H11MO.0.A" "ATF3_HUMAN.H11MO.0.A" "ATF3_HUMAN.H11MO.0.A" "C_ATF3_HUMAN.H11MO.0.A" 15386 0.33881 3850 0.33661 3642 0.14795 3.44686e-127 "False" "ATF3" 28.7887204970194 52.4281325619157 109.022771539586 23.2168492962789 "NOT_SIG" NA
"14" "ATF4_HUMAN.H11MO.0.A_ATF4_HUMAN.H11MO.0.A" "ATF4_HUMAN.H11MO.0.A" "ATF4_HUMAN.H11MO.0.A" "C_CEBPG_HUMAN.H11MO.0.B" 33436 0.10406 2510 0.09323 1883 0.10651 5.14294e-130 "False" "ATF4" 96.754385210388 98.739249073327 128.429287011239 55.6843106639672 "NOT_SIG" NA
"15" "ATF6A_HUMAN.H11MO.0.B_ATF6A_HUMAN.H11MO.0.B" "ATF6A_HUMAN.H11MO.0.B" "ATF6A_HUMAN.H11MO.0.B" "C_ATF6A_HUMAN.H11MO.0.B" 20709 0.28387 4653 0.29988 4844 0.02158 1.54581e-53 "False" "ATF6" 19.6155254979859 12.3820826236689 56.8522445809076 18.0986589493866 "NOT_SIG" NA
"17" "BACH1_HUMAN.H11MO.0.A_BACH1_HUMAN.H11MO.0.A" "BACH1_HUMAN.H11MO.0.A" "BACH1_HUMAN.H11MO.0.A" "C_BACH1_HUMAN.H11MO.0.A" 66422 0.15123 8133 0.14663 7798 0.10699 5.32093e-145 "False" "BACH1" 13.41182193843 12.1293834335069 37.0997227289024 15.2346161669713 "NOT_SIG" NA
"19" "BATF3_HUMAN.H11MO.0.B_BATF3_HUMAN.H11MO.0.B" "BATF3_HUMAN.H11MO.0.B" "BATF3_HUMAN.H11MO.0.B" "C_BATF3_HUMAN.H11MO.0.B" 61045 0.09442 4187 0.076 2565 0.15777 1.71213e-158 "False" "BATF3" 0.575538374535034 0.57107451363778 19.087824828825 0.208838322334935 "NOT_SIG" NA
"21" "BC11A_HUMAN.H11MO.0.A_BC11A_HUMAN.H11MO.0.A" "BC11A_HUMAN.H11MO.0.A" "BC11A_HUMAN.H11MO.0.A" "C_BC11A_HUMAN.H11MO.0.A" 230335 0.13549 25901 0.08574 13335 0.3325 7.81894e-219 "True" "BCL11A" 75.5316010786413 69.3700897951593 13.5090677800532 36.3624285305038 "MG" "BCL11A"
"22" "BCL6_HUMAN.H11MO.0.A_BCL6_HUMAN.H11MO.0.A" "BCL6_HUMAN.H11MO.0.A" "BCL6_HUMAN.H11MO.0.A" "C_BCL6_HUMAN.H11MO.0.A" 67090 0.09688 4654 0.1009 4517 0.03656 6.52448e-101 "False" "BCL6" 17.0399555717925 20.8345721826169 58.721380220492 36.8000661472183 "NOT_SIG" NA
"24" "BHE40_HUMAN.H11MO.0.A_BHE40_HUMAN.H11MO.0.A" "BHE40_HUMAN.H11MO.0.A" "BHE40_HUMAN.H11MO.0.A" "C_BHE40_HUMAN.H11MO.0.A" 20623 0.19799 3174 0.202 3075 0.0743 9.04484e-101 "False" "BHLHE40" 5.05455661252729 4.33564078219278 31.5992340015135 3.02381313422561 "NOT_SIG" NA
"29" "CEBPA_HUMAN.H11MO.0.A_CEBPA_HUMAN.H11MO.0.A" "CEBPA_HUMAN.H11MO.0.A" "CEBPA_HUMAN.H11MO.0.A" "C_CEBPD_HUMAN.H11MO.0.C" 36205 0.12817 3684 0.07721 1692 0.3175 1.34964e-179 "True" "CEBPA" 0.0705252650416018 0.0682613399103535 29.3549197794014 0.0454162717715187 "MG" "CEBPA"
"30" "CEBPB_HUMAN.H11MO.0.A_CEBPB_HUMAN.H11MO.0.A" "CEBPB_HUMAN.H11MO.0.A" "CEBPB_HUMAN.H11MO.0.A" "C_CEBPD_HUMAN.H11MO.0.C" 29208 0.13498 3122 0.08012 1422 0.33406 9.02671e-178 "True" "CEBPB" 0.447037396961314 0.638391051882728 63.3683662473764 0.29949325467678 "MG" "CEBPB"
"31" "CEBPD_HUMAN.H11MO.0.C_CEBPD_HUMAN.H11MO.0.C" "CEBPD_HUMAN.H11MO.0.C" "CEBPD_HUMAN.H11MO.0.C" "C_CEBPD_HUMAN.H11MO.0.C" 30795 0.14263 3566 0.096 1980 0.29312 1.07852e-168 "True" "CEBPD" 0.711329037787227 1.54392975566038 54.0551117957055 1.25118933658503 "MG" "CEBPD"
"33" "CEBPG_HUMAN.H11MO.0.B_CEBPG_HUMAN.H11MO.0.B" "CEBPG_HUMAN.H11MO.0.B" "CEBPG_HUMAN.H11MO.0.B" "C_CEBPG_HUMAN.H11MO.0.B" 37258 0.107 2920 0.09214 2119 0.134 1.58655e-147 "False" "CEBPG" 11.0114368054344 12.2427480170396 10.2202573885624 7.70853202985005 "NOT_SIG" NA
"34" "CLOCK_HUMAN.H11MO.0.C_CLOCK_HUMAN.H11MO.0.C" "CLOCK_HUMAN.H11MO.0.C" "CLOCK_HUMAN.H11MO.0.C" "C_CLOCK_HUMAN.H11MO.0.C" 44763 0.14242 4897 0.15144 5035 0.02132 4.80461e-67 "False" "CLOCK" 10.7221280747028 8.85050882037757 13.1683322288852 11.1518573782525 "NOT_SIG" NA
"38" "CREB1_HUMAN.H11MO.0.A_CREB1_HUMAN.H11MO.0.A" "CREB1_HUMAN.H11MO.0.A" "CREB1_HUMAN.H11MO.0.A" "C_ATF1_HUMAN.H11MO.0.B" 12920 0.30829 2888 0.32326 2858 0.04384 1.93697e-71 "False" "CREB1" 37.0938016214386 40.2337322953306 44.0094524151393 42.877411742793 "NOT_SIG" NA
"39" "CREM_HUMAN.H11MO.0.C_CREM_HUMAN.H11MO.0.C" "CREM_HUMAN.H11MO.0.C" "CREM_HUMAN.H11MO.0.C" "C_CREM_HUMAN.H11MO.0.C" 23326 0.19816 3410 0.20443 3366 0.04701 4.44569e-85 "False" "CREM" 12.3245471498361 12.9777621603351 31.8236008868899 15.4067012281003 "NOT_SIG" NA
"42" "CTCF_HUMAN.H11MO.0.A_CTCF_HUMAN.H11MO.0.A" "CTCF_HUMAN.H11MO.0.A" "CTCF_HUMAN.H11MO.0.A" "C_CTCFL_HUMAN.H11MO.0.A" 101106 0.22459 20515 0.27355 26396 -0.11462 3.41539e-159 "False" "CTCF" 32.8657787144313 34.923909783083 35.151321131569 31.2263257079593 "NOT_SIG" NA
