output_prefix	name	motif_id	cluster	total_tfbs	oRG_mean_score	oRG_bound	vRG_mean_score	vRG_bound	oRG_vRG_change	oRG_vRG_pvalue	oRG_vRG_highlighted
AHR_HUMAN.H11MO.0.B_AHR_HUMAN.H11MO.0.B	AHR_HUMAN.H11MO.0.B	AHR_HUMAN.H11MO.0.B	C_AHR_HUMAN.H11MO.0.B	8147	0.25913	2178	0.26704	2220	-0.06193	4.90476E-77	False
AIRE_HUMAN.H11MO.0.C_AIRE_HUMAN.H11MO.0.C	AIRE_HUMAN.H11MO.0.C	AIRE_HUMAN.H11MO.0.C	C_AIRE_HUMAN.H11MO.0.C	25185	0.11276	2260	0.11211	2188	0.01959	4.00074E-55	False
ALX1_HUMAN.H11MO.0.B_ALX1_HUMAN.H11MO.0.B	ALX1_HUMAN.H11MO.0.B	ALX1_HUMAN.H11MO.0.B	C_ALX1_HUMAN.H11MO.0.B	29946	0.10108	2341	0.09619	2148	0.08309	6.11198E-116	True
ANDR_HUMAN.H11MO.0.A_ANDR_HUMAN.H11MO.0.A	ANDR_HUMAN.H11MO.0.A	ANDR_HUMAN.H11MO.0.A	C_ANDR_HUMAN.H11MO.0.A	81751	0.09975	6245	0.09733	5894	0.04965	1.19519E-114	False
AP2A_HUMAN.H11MO.0.A_AP2A_HUMAN.H11MO.0.A	AP2A_HUMAN.H11MO.0.A	AP2A_HUMAN.H11MO.0.A	C_AP2C_HUMAN.H11MO.0.A	77013	0.17373	13332	0.17799	13659	-0.06012	3.24625E-120	False
AP2B_HUMAN.H11MO.0.B_AP2B_HUMAN.H11MO.0.B	AP2B_HUMAN.H11MO.0.B	AP2B_HUMAN.H11MO.0.B	C_AP2B_HUMAN.H11MO.0.B	95774	0.25869	27796	0.26406	28401	-0.05467	5.93043E-125	False
AP2C_HUMAN.H11MO.0.A_AP2C_HUMAN.H11MO.0.A	AP2C_HUMAN.H11MO.0.A	AP2C_HUMAN.H11MO.0.A	C_AP2C_HUMAN.H11MO.0.A	91239	0.19719	18755	0.20206	19224	-0.06039	1.89821E-128	False
ARI5B_HUMAN.H11MO.0.C_ARI5B_HUMAN.H11MO.0.C	ARI5B_HUMAN.H11MO.0.C	ARI5B_HUMAN.H11MO.0.C	C_ARI5B_HUMAN.H11MO.0.C	20993	0.11864	2036	0.11672	1966	0.02336	1.91924E-60	False
ARNT_HUMAN.H11MO.0.B_ARNT_HUMAN.H11MO.0.B	ARNT_HUMAN.H11MO.0.B	ARNT_HUMAN.H11MO.0.B	C_ARNT_HUMAN.H11MO.0.B	8037	0.22321	1769	0.23323	1867	-0.08969	1.15780E-87	False
ASCL1_HUMAN.H11MO.0.A_ASCL1_HUMAN.H11MO.0.A	ASCL1_HUMAN.H11MO.0.A	ASCL1_HUMAN.H11MO.0.A	C_ASCL1_HUMAN.H11MO.0.A	74628	0.15725	11733	0.16737	12533	-0.16456	1.78006E-165	True
