"output_prefix" "name" "motif_id" "cluster" "total_tfbs" "oRG_mean_score" "oRG_bound" "vRG_mean_score" "vRG_bound" "oRG_vRG_change" "oRG_vRG_pvalue" "oRG_vRG_highlighted" "Transcription.factor" "oRG" "vRG" "MG" "Oligo" "cat" "label"
"7" "AP2C_HUMAN.H11MO.0.A_AP2C_HUMAN.H11MO.0.A" "AP2C_HUMAN.H11MO.0.A" "AP2C_HUMAN.H11MO.0.A" "C_AP2C_HUMAN.H11MO.0.A" 91239 0.19719 18755 0.20206 19224 -0.06039 1.89821e-128 "False" "TFAP2C" 27.8922058576558 41.4040625382579 0.459279850711504 2.05230629776214 "NOT_SIG" NA
"9" "ARNT_HUMAN.H11MO.0.B_ARNT_HUMAN.H11MO.0.B" "ARNT_HUMAN.H11MO.0.B" "ARNT_HUMAN.H11MO.0.B" "C_ARNT_HUMAN.H11MO.0.B" 8037 0.22321 1769 0.23323 1867 -0.08969 1.1578e-87 "False" "ARNT" 24.5356295297027 30.0596275667647 62.5493977391954 27.671843872423 "NOT_SIG" NA
"10" "ASCL1_HUMAN.H11MO.0.A_ASCL1_HUMAN.H11MO.0.A" "ASCL1_HUMAN.H11MO.0.A" "ASCL1_HUMAN.H11MO.0.A" "C_ASCL1_HUMAN.H11MO.0.A" 74628 0.15725 11733 0.16737 12533 -0.16456 1.78006e-165 "True" "ASCL1" 4.67431419458201 11.3683673610327 0.541094558130636 19.5795477573126 "vRG" "ASCL1"
"12" "ATF2_HUMAN.H11MO.0.B_ATF2_HUMAN.H11MO.0.B" "ATF2_HUMAN.H11MO.0.B" "ATF2_HUMAN.H11MO.0.B" "C_ATF2_HUMAN.H11MO.0.B" 25955 0.19182 4338 0.20001 4478 -0.09521 1.57688e-115 "False" "ATF2" 38.6022857279731 34.2972618672797 40.2598014796896 31.9908469689436 "NOT_SIG" NA
"13" "ATF3_HUMAN.H11MO.0.A_ATF3_HUMAN.H11MO.0.A" "ATF3_HUMAN.H11MO.0.A" "ATF3_HUMAN.H11MO.0.A" "C_ATF3_HUMAN.H11MO.0.A" 11473 0.36593 3754 0.38009 3825 -0.09678 7.8518e-102 "False" "ATF3" 28.7887204970194 52.4281325619157 109.022771539586 23.2168492962789 "NOT_SIG" NA
"14" "ATF4_HUMAN.H11MO.0.A_ATF4_HUMAN.H11MO.0.A" "ATF4_HUMAN.H11MO.0.A" "ATF4_HUMAN.H11MO.0.A" "C_CEBPG_HUMAN.H11MO.0.B" 25374 0.12801 2747 0.12899 2756 -0.00325 5.6878e-09 "False" "ATF4" 96.754385210388 98.739249073327 128.429287011239 55.6843106639672 "NOT_SIG" NA
"15" "ATF6A_HUMAN.H11MO.0.B_ATF6A_HUMAN.H11MO.0.B" "ATF6A_HUMAN.H11MO.0.B" "ATF6A_HUMAN.H11MO.0.B" "C_ATF6A_HUMAN.H11MO.0.B" 17625 0.29724 5001 0.30775 5129 -0.09783 9.72928e-113 "False" "ATF6" 19.6155254979859 12.3820826236689 56.8522445809076 18.0986589493866 "NOT_SIG" NA
"17" "BACH1_HUMAN.H11MO.0.A_BACH1_HUMAN.H11MO.0.A" "BACH1_HUMAN.H11MO.0.A" "BACH1_HUMAN.H11MO.0.A" "C_BACH1_HUMAN.H11MO.0.A" 48318 0.18163 8716 0.18741 9024 -0.05877 2.56559e-115 "False" "BACH1" 13.41182193843 12.1293834335069 37.0997227289024 15.2346161669713 "NOT_SIG" NA
"18" "BACH2_HUMAN.H11MO.0.A_BACH2_HUMAN.H11MO.0.A" "BACH2_HUMAN.H11MO.0.A" "BACH2_HUMAN.H11MO.0.A" "C_BACH2_HUMAN.H11MO.0.A" 37823 0.13799 4769 0.14185 4888 -0.06194 2.11399e-104 "False" "BACH2" 15.3802678691965 15.3782318396779 4.84283653112927 10.1726254877504 "NOT_SIG" NA
"21" "BC11A_HUMAN.H11MO.0.A_BC11A_HUMAN.H11MO.0.A" "BC11A_HUMAN.H11MO.0.A" "BC11A_HUMAN.H11MO.0.A" "C_BC11A_HUMAN.H11MO.0.A" 145740 0.13313 17348 0.13295 17085 0.01275 1.69095e-66 "False" "BCL11A" 75.5316010786413 69.3700897951593 13.5090677800532 36.3624285305038 "NOT_SIG" NA
